state,state_abbr,cost_index,grocery_cost_index,housing_cost_index,utilities_cost_index,transportation_cost_index,misc_cost_index,minimum_wage
Alabama,AL,87.9,98.2,70.1,100.7,92.7,94.1,7.25
Alaska,AK,127.1,134.5,126.9,154.8,109.9,113.7,10.34
Arizona,AZ,103.2,101.5,107.7,104.8,98.8,99.7,12.8
Arkansas,AR,90.9,93.1,79.1,92.3,92.3,97.4,11
California,CA,142.2,113.7,201.9,124.3,131.7,111.3,15
Colorado,CO,105.3,98.1,116.4,88.4,105.6,107.4,12.56
Connecticut,CT,121.6,106.4,134.6,132.4,111.1,114.1,14
Delaware,DE,107.9,114,103.1,96.5,113,113.7,10.5
Florida,FL,100.3,105.6,99,105.3,98.8,98.4,10
Georgia,GA,88.8,95.9,74.4,90.5,92.6,96.6,7.25
Hawaii,HI,193.3,152.9,315,164.2,133.7,126.7,12
Idaho,ID,102.1,93.8,110.4,82.3,111.7,100.9,7.25
Illinois,IL,94.3,98.4,86.6,96.5,105.8,96.7,12
Indiana,IN,90.6,92.7,78.3,99,98.3,95.2,7.25
Iowa,IA,89.9,98.4,76,94.9,97.7,93.7,7.25
Kansas,KS,86.5,91.7,72.6,100.2,97.3,90.3,7.25
Kentucky,KY,93.1,92.1,79.9,104.7,103,103.7,7.25
Louisiana,LA,93,96.8,86,87,96.5,98.4,7.25
Maine,ME,115,102.2,136.6,102.3,104.6,108.4,12.75
Maryland,MD,124,110.4,165.9,105.1,107.6,108,12.5
Massachusetts,MA,135,119.3,177.6,111.1,111.3,116.1,14.25
Michigan,MI,91.3,90.1,80.7,99.7,103.2,96.4,9.87
Minnesota,MN,100,103.9,90.2,96.5,99.4,108.8,10.33
Mississippi,MS,83.3,92.2,66.3,90.4,86.7,91.4,7.25
Missouri,MO,89.8,95,80.3,95.4,92.4,95.8,11.15
Montana,MT,100.7,103.4,106.3,88,94.7,98.6,9.2
Nebraska,NE,93.7,98.6,86.6,89.3,100.2,96.8,9
Nevada,NV,106.3,107,117.9,88.4,119.7,99.3,10.5
New Hampshire,NH,109.9,103.6,108.1,113.6,97.2,110.8,7.25
New Jersey,NJ,115.2,107.3,136.6,104.6,105.5,106.6,13
New Mexico,NM,91,95.5,84.3,89.6,98.1,91.9,11.5
New York,NY,148.2,118.4,230.1,99.8,108.7,114.8,13.2
North Carolina,NC,95.7,97.6,88.6,97.7,92.8,99.2,7.25
North Dakota,ND,98.2,101,95.4,95.2,104.2,96.3,7.25
Ohio,OH,91.3,99.2,76.5,92,98.6,98.7,9.3
Oklahoma,OK,87.9,94.5,74.7,95.1,94.8,93.5,7.25
Oregon,OR,130.1,107.8,172.6,90.2,125.9,118.5,13.5
Pennsylvania,PA,102.5,107.8,98,109.7,105.6,102.9,7.25
Rhode Island,RI,117.2,107.7,121.7,127.6,107.6,118.7,12.25
South Carolina,SC,93.6,99.5,79.6,105.2,95.2,99.4,7.25
South Dakota,SD,101,102.1,112.8,91.8,89.7,91.1,9.95
Tennessee,TN,89,94.7,79.3,92.5,88.8,92.9,7.25
Texas,TX,92.1,90.8,83.8,103.2,94.1,97,7.25
Utah,UT,99,97.3,98.4,90.9,109.9,99.5,7.25
Vermont,VT,117,109.2,136.2,119,114.2,104.1,12.55
Virginia,VA,101.8,95.2,111.5,96.7,90.4,100.2,11
Washington,WA,111.6,108.4,119,90.8,117.4,110.4,14.49
West Virginia,WV,90.5,96.5,78.6,89.4,92.2,102.9,8.75
Wisconsin,WI,96.4,99.5,88.4,99.4,99.5,98.9,7.25
Wyoming,WY,94.3,102.7,81.3,85.2,99.9,105.5,7.25
